Participant,Trial,Condition,Correctness,SerPos,Modality,RT1,RT2,RT3,SwitchCon,Switch,TypedTime,SpokenTime,SwitchTime,Prestime,SumRT,SumGlobRT,missing,SumPrestime,CLlocal,CLglobal,check,SP2,SP3,SP4,SP5,SPlinear,SPquad,Glob1,Glob2,Glob3,Local1,Local2,Local1retro,Local1pro,Local2retro,Local2pro
1,37,12,1,4,2,0.763,0.69, ,3,0,0.9776,0.67,0.293,2.01,1.453,6.68125,1,10.05,0.722885572,0.664800995,0,0,0,1,0,0.316,-0.267,0,0,0,0,0,0,0,0,0
1,37,12,1,5,2,0.592,0.699,0.554,3,0,0.9776,0.67,0.293,2.01,1.845,6.68125,1,10.05,0.917910448,0.664800995,0,0,0,0,1,0.632,0.535,0,0,0,0,0,0,0,0,0
1,38,8,1,1,2,0.554,0.559,0.534,3,0,0.9776,0.67,0.293,2.01,1.647,9.611666667,2,11.5588,0.819402985,0.831545374,0,0,0,0,0,-0.632,0.535,0,0,1,0,0,0,0,0,0
1,38,8,1,2,2,0.695,0.636,0.649,3,0,0.9776,0.67,0.293,2.01,1.98,9.611666667,2,11.5588,0.985074627,0.831545374,0,1,0,0,0,-0.316,-0.267,0,0,1,0,0,0,0,1,0
1,38,8,1,3,1,0.731,0.783,0.626,2,1,0.9776,0.67,0.293,3.2258,2.14,9.611666667,2,11.5588,0.663401327,0.831545374,0,0,1,0,0,0,-0.535,0,0,1,0,1,0,0,0,0
1,38,8,1,4,2, , , ,1,1,0.9776,0.67,0.293,2.303, ,9.611666667,2,11.5588, ,0.831545374,0,0,0,1,0,0.316,-0.267,0,0,1,0,0,0,0,0,1
1,38,8,1,5,2, , , ,3,0,0.9776,0.67,0.293,2.01, ,9.611666667,2,11.5588, ,0.831545374,0,0,0,0,1,0.632,0.535,0,0,1,0,0,0,0,0,0
1,39,5,1,1,1,0.675,0.517,0.669,2,0,0.9776,0.67,0.293,2.9328,1.861,7.839,0,14.0342,0.63454719,0.558564079,0,0,0,0,0,-0.632,0.535,1,1,0,0,0,0,0,0,0
1,39,5,1,2,1,0.555,0.475,0.511,4,0,0.9776,0.67,0.293,2.9328,1.541,7.839,0,14.0342,0.525436443,0.558564079,0,1,0,0,0,-0.316,-0.267,1,1,0,0,0,0,0,0,0
1,39,5,1,3,1,0.552,0.549,0.586,4,0,0.9776,0.67,0.293,2.9328,1.687,7.839,0,14.0342,0.575218221,0.558564079,0,0,1,0,0,0,-0.535,1,1,0,0,0,0,0,0,0
1,39,5,1,4,1,0.626,0.508,0.505,4,0,0.9776,0.67,0.293,2.9328,1.639,7.839,0,14.0342,0.558851609,0.558564079,0,0,0,1,0,0.316,-0.267,1,1,0,0,0,1,0,0,0
1,39,5,1,5,2,0.696,0.415, ,1,1,0.9776,0.67,0.293,2.303,1.111,7.839,0,14.0342,0.482414242,0.558564079,0,0,0,0,1,0.632,0.535,1,1,0,1,0,0,0,0,0
1,40,6,1,1,1,0.907,0.634,0.593,2,0,0.9776,0.67,0.293,2.9328,2.134,9.503,0,11.2658,0.727632297,0.843526425,0,0,0,0,0,-0.632,0.535,0,0,1,0,1,0,0,0,0
1,40,6,1,2,2,0.692,0.689,0.57,1,1,0.9776,0.67,0.293,2.303,1.951,9.503,0,11.2658,0.847155884,0.843526425,0,1,0,0,0,-0.316,-0.267,0,0,1,0,0,0,0,0,1
1,40,6,1,3,2,0.753,0.756, ,3,0,0.9776,0.67,0.293,2.01,1.509,9.503,0,11.2658,0.750746269,0.843526425,0,0,1,0,0,0,-0.535,0,0,1,0,0,0,0,0,0
1,40,6,1,4,2,0.694,0.783,0.625,3,0,0.9776,0.67,0.293,2.01,2.102,9.503,0,11.2658,1.045771144,0.843526425,0,0,0,1,0,0.316,-0.267,0,0,1,0,0,0,0,0,0
1,40,6,1,5,2,0.6,0.628,0.579,3,0,0.9776,0.67,0.293,2.01,1.807,9.503,0,11.2658,0.899004975,0.843526425,0,0,0,0,1,0.632,0.535,0,0,1,0,0,0,0,0,0
1,41,7,1,1,2,0.692,0.723, ,3,0,0.9776,0.67,0.293,2.01,1.415,8.162,0,11.5588,0.7039801,0.706128664,0,0,0,0,0,-0.632,0.535,0,0,1,0,0,0,0,1,0
1,41,7,1,2,1,0.978,0.854,0.62,2,1,0.9776,0.67,0.293,3.2258,2.452,8.162,0,11.5588,0.76012152,0.706128664,0,1,0,0,0,-0.316,-0.267,0,0,1,0,1,0,0,0,0
1,41,7,1,3,2,0.758,0.692, ,1,1,0.9776,0.67,0.293,2.303,1.45,8.162,0,11.5588,0.629613548,0.706128664,0,0,1,0,0,0,-0.535,0,0,1,0,0,0,0,0,1
1,41,7,1,4,2, ,0.484,0.306,3,0,0.9776,0.67,0.293,2.01,0.79,8.162,0,11.5588,0.393034826,0.706128664,0,0,0,1,0,0.316,-0.267,0,0,1,0,0,0,0,0,0
1,41,7,1,5,2,0.787,0.701,0.567,3,0,0.9776,0.67,0.293,2.01,2.055,8.162,0,11.5588,1.02238806,0.706128664,0,0,0,0,1,0.632,0.535,0,0,1,0,0,0,0,0,0
1,42,9,1,1,2,0.697,0.62,0.48,3,0,0.9776,0.67,0.293,2.01,1.797,8.304,0,11.5588,0.894029851,0.718413676,0,0,0,0,0,-0.632,0.535,0,0,1,0,0,0,0,0,0
1,42,9,0,2,2,0.558,0.584,0.522,3,0,0.9776,0.67,0.293,2.01,1.664,8.304,0,11.5588,0.827860697,0.718413676,0,1,0,0,0,-0.316,-0.267,0,0,1,0,0,0,0,0,0
